"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"Large Central Metro"	"1"	"25-29 years"	"25-29"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	189	4128153	4.58
	"Large Central Metro"	"1"	"25-29 years"	"25-29"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	162	3927359	4.12
	"Large Central Metro"	"1"	"25-29 years"	"25-29"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	164	3832922	4.28
	"Large Central Metro"	"1"	"25-29 years"	"25-29"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	346	4174848	8.29
	"Large Central Metro"	"1"	"25-29 years"	"25-29"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	362	3914726	9.25
	"Large Central Metro"	"1"	"25-29 years"	"25-29"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	302	3868689	7.81
	"Large Central Metro"	"1"	"30-34 years"	"30-34"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	347	4080593	8.50
	"Large Central Metro"	"1"	"30-34 years"	"30-34"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	357	4073995	8.76
	"Large Central Metro"	"1"	"30-34 years"	"30-34"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	324	4023987	8.05
	"Large Central Metro"	"1"	"30-34 years"	"30-34"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	689	4164599	16.54
	"Large Central Metro"	"1"	"30-34 years"	"30-34"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	710	4129877	17.19
	"Large Central Metro"	"1"	"30-34 years"	"30-34"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	721	4123347	17.49
