"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"ICD Chapter"	"ICD Chapter Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2010"	"2010"	400	7211942	5.55
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2011"	"2011"	481	7366287	6.53
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2012"	"2012"	440	7493992	5.87
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2013"	"2013"	414	7639831	5.42
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2014"	"2014"	411	7815978	5.26
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2015"	"2015"	491	7962888	6.17
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2016"	"2016"	467	8057281	5.80
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2017"	"2017"	470	8174237	5.75
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2018"	"2018"	504	8204480	6.14
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2019"	"2019"	481	8221329	5.85
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2020 "	"2020"	536	8208746	6.53
"Total"	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"			5095	86356991	5.90
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2010"	"2010"	864	7136303	12.11
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2011"	"2011"	850	7330802	11.59
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2012"	"2012"	847	7475497	11.33
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2013"	"2013"	827	7643337	10.82
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2014"	"2014"	896	7793253	11.50
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2015"	"2015"	922	7947683	11.60
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2016"	"2016"	939	8077123	11.63
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2017"	"2017"	1004	8239301	12.19
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2018"	"2018"	928	8298380	11.18
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2019"	"2019"	941	8334075	11.29
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2020 "	"2020"	1035	8339447	12.41
"Total"	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"			10053	86615201	11.61
"Total"	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"					15148	172972192	8.76
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2010"	"2010"	1393	6586024	21.15
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2011"	"2011"	1300	6580861	19.75
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2012"	"2012"	1277	6620833	19.29
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2013"	"2013"	1287	6667250	19.30
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2014"	"2014"	1349	6735144	20.03
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2015"	"2015"	1333	6781283	19.66
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2016"	"2016"	1303	6764210	19.26
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2017"	"2017"	1319	6844363	19.27
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2018"	"2018"	1323	6885813	19.21
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2019"	"2019"	1357	6924054	19.60
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2020 "	"2020"	1451	6977552	20.80
"Total"	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"			14692	74367387	19.76
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2010"	"2010"	2728	6518253	41.85
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2011"	"2011"	2703	6512149	41.51
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2012"	"2012"	2675	6547402	40.86
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2013"	"2013"	2638	6582887	40.07
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2014"	"2014"	2672	6617387	40.38
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2015"	"2015"	2707	6660246	40.64
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2016"	"2016"	2628	6648293	39.53
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2017"	"2017"	2757	6738318	40.92
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2018"	"2018"	2750	6795806	40.47
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2019"	"2019"	2748	6849506	40.12
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2020 "	"2020"	3190	6922574	46.08
"Total"	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"			30196	73392821	41.14
"Total"	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"					44888	147760208	30.38
